Protein,Protein_class,Buffer,Buffer_conc,Ingredient,Conc_Level,Model_source,Source_class,Source_proteins,N_Samples,N_Baseline,N_Ingredient,Mean_Protein_conc,Conc_Range_Min,Conc_Range_Max,Median_Conc,R2_logK,R2_n,Residual_std_logK,Residual_std_n,Boot_pred_std_logK,Boot_pred_std_n,Baseline_logK_mean,Baseline_n_mean,dlogK_dc_at_median,dn_dc_at_median
poly-hIgG,polyclonal,Histidine,30.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,30.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,30.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,30.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,30.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,30.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,30.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,30.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,36.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,40.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,50.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,75.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,97.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,Histidine,100.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
poly-hIgG,polyclonal,PBS,10.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,20.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,50.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Trehalose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Trehalose,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Tween-20,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Tween-20,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Tween-20,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Lysine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Proline,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Arginine,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,NaCl,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Acetate,80.0,NaCl,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Histidine,15.0,Sucrose,Low,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Histidine,15.0,Sucrose,Medium,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Histidine,15.0,Sucrose,High,no_model,,,,,,,,,,,,,,,,,,,
Etanercept,Fc-Fusion,Histidine,15.0,Trehalose,Low,no_model,,,,,,,,,,,,,,,,,,,
